M,MM,Combo,DCombo
SI,SI,MM,MM
SI,NO,M,M1
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
SI,NO,M,M1
NO,NO,C,C
SI,NO,M,M2
NO,NO,C,C
SI,NO,M,M2
NO,NO,C,C
SI,SI,MM,MM
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M2
SI,NO,M,M2
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
SI,NO,M,M1
SI,NO,M,M1
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M1
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M2
SI,NO,M,M1
NO,NO,C,C
NO,NO,C,C
SI,SI,MM,MM
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M2
SI,NO,M,M2
SI,NO,M,M2
SI,NO,M,M2
SI,SI,MM,MM
NO,NO,C,C
NO,NO,C,C
SI,SI,MM,MM
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M1
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M2
NO,NO,C,C
SI,NO,M,M1
SI,NO,MM,MM
SI,NO,MM,MM
NO,NO,C,C
SI,SI,MM,MM
SI,NO,M,M1
SI,NO,M,M1
SI,SI,MM,MM
SI,NO,M,M2
SI,NO,M,M1
SI,SI,MM,MM
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M2
SI,SI,MM,MM
SI,NO,M,M1
SI,NO,M,M2
NO,NO,C,C
SI,NO,M,M2
SI,SI,MM,MM
SI,NO,M,M2
NO,NO,C,C
SI,NO,M,M1
NO,NO,C,C
SI,NO,M,M1
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M1
SI,NO,M,M1
SI,NO,MM,MM
NO,NO,C,C
NO,NO,C,C
SI,NO,M,M1
SI,NO,M,M1
SI,NO,M,M1
SI,NO,MM,MM
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M1
SI,NO,M,M1
SI,NO,M,M1
SI,NO,M,M1
NO,NO,C,C
SI,NO,MM,MM
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M1
NO,NO,C,C
SI,NO,MM,MM
SI,NO,M,M2
SI,NO,MM,MM
NO,NO,C,C
SI,NO,M,M1
SI,NO,M,M2
NO,NO,C,C
SI,NO,MM,MM
SI,NO,M,M1
SI,NO,M,M2
NO,NO,C,C
SI,NO,M,M1
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M2
SI,NO,M,M1
SI,NO,M,M1
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
NO,NO,C,C
SI,NO,M,M1
SI,NO,M,M1
NO,NO,C,C
SI,NO,M,M2
SI,NO,M,M1
NO,NO,C,C
